ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200956_s_at	166.711	P	0.000732422
200957_s_at	174.39	P	0.000732422
200958_s_at	2016.57	P	0.000244141
200959_at	484.218	P	0.000244141
200960_x_at	743.539	P	0.00195313
200961_at	309.511	P	0.00195313
200962_at	452.244	P	0.000732422
200963_x_at	12184.4	P	0.000244141
200964_at	606.678	P	0.000244141
200965_s_at	1336.28	P	0.000244141
200966_x_at	2276.22	P	0.000244141
200967_at	1683.12	P	0.000244141
200968_s_at	799.047	P	0.000244141
200969_at	524.274	P	0.000244141
200970_s_at	568.399	P	0.0012207
200971_s_at	2026.69	P	0.000244141
200972_at	258.433	P	0.000732422
200973_s_at	168.309	P	0.000244141
200974_at	69.6783	P	0.00195313
200975_at	1821.42	P	0.000244141
200976_s_at	1038.91	P	0.000244141
200977_s_at	801.273	P	0.000244141
200978_at	733.324	P	0.000244141
200979_at	85.7383	P	0.000244141
200980_s_at	262.168	P	0.000244141
200981_x_at	5025.39	P	0.000244141
200982_s_at	839.505	P	0.000244141
200983_x_at	144.847	P	0.000244141
200984_s_at	113.814	P	0.000244141
200985_s_at	145.773	P	0.000732422
200986_at	20.2822	A	0.0952148
200987_x_at	233.894	P	0.00415039
200988_s_at	67.4997	P	0.00195313
200989_at	2064.85	P	0.000244141
200990_at	435.965	P	0.000732422
200991_s_at	495.955	P	0.000732422
200992_at	352.404	P	0.000244141
200993_at	383.283	P	0.000244141
200994_at	277.612	P	0.000732422
200995_at	114.847	P	0.0185547
200996_at	2417.23	P	0.000244141
200997_at	412.908	P	0.000244141
200998_s_at	134.548	P	0.000732422
200999_s_at	190.144	P	0.000244141
201000_at	236.91	P	0.0107422
201001_s_at	630.983	P	0.000244141
201002_s_at	829.671	P	0.000244141
201003_x_at	296.036	P	0.000732422
201004_at	1610.19	P	0.000244141
201005_at	978.514	P	0.000244141
201006_at	5.50152	A	0.303711
201007_at	673.482	P	0.000244141
201008_s_at	7534.64	P	0.000244141
201009_s_at	7731.82	P	0.000244141
201010_s_at	7237.37	P	0.000244141
201011_at	324.117	P	0.000244141
201012_at	2096	P	0.000244141
201013_s_at	166.844	P	0.000244141
201014_s_at	115.866	P	0.000244141
201015_s_at	53.8137	P	0.0012207
201016_at	166.554	P	0.000732422
201017_at	303.236	P	0.000244141
201018_at	388.269	P	0.000732422
201019_s_at	924.422	P	0.000244141
201020_at	465.532	P	0.000244141
201021_s_at	514.249	P	0.000244141
201022_s_at	801.778	P	0.000244141
201023_at	851.992	P	0.000244141
201024_x_at	331.203	P	0.000244141
201025_at	119.476	P	0.000244141
201026_at	34.4993	P	0.00415039
201027_s_at	167.142	P	0.0012207
201028_s_at	1284.03	P	0.000244141
201029_s_at	1930.24	P	0.000244141
201030_x_at	3296.06	P	0.000244141
201031_s_at	2093.63	P	0.000244141
201032_at	439.091	P	0.000244141
201033_x_at	6793.1	P	0.000244141
201034_at	2949.11	P	0.000244141
201035_s_at	94.5587	P	0.00585938
201036_s_at	135.344	P	0.000732422
201037_at	230.007	P	0.000732422
201038_s_at	306.493	P	0.000244141
201039_s_at	210.46	P	0.000244141
201040_at	539.902	P	0.0012207
201041_s_at	4284.87	P	0.000244141
201042_at	3.78338	A	0.567627
201043_s_at	217.998	P	0.000244141
201044_x_at	477.908	P	0.000244141
201045_s_at	29.766	A	0.171387
201046_s_at	385.884	P	0.0185547
201047_x_at	568.205	P	0.000244141
201048_x_at	114.637	P	0.0141602
201049_s_at	9044.33	P	0.000244141
201050_at	116.635	P	0.000244141
201051_at	1014.63	P	0.000244141
201052_s_at	437.879	P	0.000732422
201053_s_at	317.554	P	0.00195313
201054_at	626.121	P	0.000244141
201055_s_at	207.417	P	0.000244141
201056_at	112.219	P	0.00805664
201057_s_at	226.486	P	0.000244141
201058_s_at	797.425	P	0.000244141
201059_at	399.426	P	0.000244141
201060_x_at	859.228	P	0.000244141
201061_s_at	1153.67	P	0.000244141
201062_at	0.991092	A	0.5
201063_at	56.4167	P	0.0012207
201064_s_at	541.562	P	0.000244141
201065_s_at	690.044	P	0.000732422
201066_at	279.212	P	0.00292969
201067_at	234.318	P	0.00195313
201068_s_at	729.432	P	0.000244141
201069_at	12.0382	P	0.0185547
201070_x_at	877.749	P	0.000244141
201071_x_at	2909.25	P	0.000244141
201072_s_at	55.9126	P	0.00195313
201073_s_at	179.404	P	0.00195313
201074_at	244.09	P	0.000244141
201075_s_at	244.828	P	0.000244141
201076_at	312.2	P	0.000244141
201077_s_at	734.472	P	0.000244141
201078_at	1091.07	P	0.000732422
201079_at	403.708	P	0.000244141
201080_at	153.655	P	0.00195313
201081_s_at	36.3846	P	0.000732422
201082_s_at	104.977	P	0.000244141
201083_s_at	396.425	P	0.000732422
201084_s_at	1569.23	P	0.000244141
201085_s_at	182.2	P	0.00195313
201086_x_at	939.007	P	0.000244141
201087_at	181.008	P	0.0012207
201088_at	293.087	P	0.000244141
201089_at	736.852	P	0.000244141
201090_x_at	2361.66	P	0.0185547
201091_s_at	541.911	P	0.000244141
201092_at	655.914	P	0.000244141
201093_x_at	345.167	P	0.000244141
201094_at	10764	P	0.000244141
201095_at	170.974	P	0.00195313
201096_s_at	522.584	P	0.000244141
201097_s_at	981.224	P	0.000244141
201098_at	315.547	P	0.000244141
201099_at	317.885	P	0.000244141
201100_s_at	863.376	P	0.000732422
201101_s_at	552.054	P	0.000244141
201102_s_at	211.214	P	0.000732422
201103_x_at	2363.42	P	0.000244141
201104_x_at	1543.18	P	0.000244141
201105_at	1426.79	P	0.000732422
201106_at	916.027	P	0.000732422
201107_s_at	60.8115	P	0.0012207
201108_s_at	605.899	P	0.000244141
201109_s_at	279.057	P	0.000244141
201110_s_at	299.996	P	0.000244141
201111_at	39.9472	P	0.000244141
201112_s_at	388.49	P	0.000244141
201113_at	442.252	P	0.000732422
